Название;Описание;Цена;Количество игроков;Время игры;Возрастное ограничение;Ссылка
Ужас Аркхэма. Карточная игра: Стражи Бездны;Тайны Египта;990₽;_1-4;_60-120;12+;https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra-strazhi-bezdni
Место преступления: Нуар;Пора брать правосудие в свои руки!;1990₽;_1-4;_60-90;12+;https://hobbygames.ru/mesto-prestuplenija-nuar
Маракайбо;Бизнес на Карибах!;5990₽;_1-4;_30+;12+;https://hobbygames.ru/maracaibo
Робинзон Крузо: В поисках затерянного города;Найти подполковника Фосетта;3990₽;_1-4;_60-120;13+;https://hobbygames.ru/robinzon-kruzo-v-poiskah-zaterjannogo-goroda
Манчкин 6: Безбашенные Подземелья;Подземелье 3D!;990₽;_3-6;_30-60;10+;https://hobbygames.ru/manchkin-6-bezbashennie-podzemelja-2-e-rus-izd
Соображарий: Улётная вечеринка;Игра для шумных компаний без зануд!;490₽;_2-10;_10+;18+;https://hobbygames.ru/soobrazharij-uljotnaja-vecherinka
Последний день Атлантиды;Спасти сокровища!;3490₽;_2-4;_45+;8+;https://hobbygames.ru/poslednij-den-atlantidi
Выше и ниже;Обживаем подземелья, собираем драгоценности;3490₽;_2-4;_90-180;13+;https://hobbygames.ru/vishe-i-nizhe
Долина торговцев;Хвостатые мастера коммерции;1090₽;_2-4;_20-40;10+;https://hobbygames.ru/dolina-torgovcev
Ужас Аркхэма. Карточная игра: Забытая эпоха;Мы не хозяева на Земле;1990₽;_1-4;_60-120;13+;https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra-zabitaja-jepoha
Андор. Легенда третья: Последняя надежда;Потрясающий финал фантастической трилогии;3990₽;_2-4;_60-90;10+;https://hobbygames.ru/andor-poslednjaja-nadezhda
"Эпичные схватки боевых магов. Крутагидон: промокарта ""Последний смешок""";Хороший, получается;50бон.;_2-5;_45-60;18+;https://hobbygames.ru/jepichnie-shvatki-boevih-magov-krutagidon-promokarta-poslednij-smeshok
Ни шагу назад;Великая Отечественная Война;5490₽;_2;_120+;16+;https://hobbygames.ru/ni-shagu-nazad
Длань Мануса;Овладейте ремеслом магической кузни!;990₽;_2-4;_30+;14+;https://hobbygames.ru/dlan-manusa
Бэнг! Дуэль: Ренегаты;Неизвестные ребята;790₽;_2-3;_30;12+;https://hobbygames.ru/bjeng-dujel-renegati
"Набор игр Catan: ""Покорители земель""";Колонизация в разгаре!;10175₽;_3-4;_45-90;10+;https://hobbygames.ru/nabor-catan
"Набор игр ""Страшные сказки"": ""Не боимся!""";Сказания без конца и края;2015₽;_2-4;_30+;14+;https://hobbygames.ru/skazka-o-belosnezhke-i-krasnoj-shapochke
Орлеан;Колыбель абсолютной монархии и феодализма;3990₽;_2-4;_60-90;12+;https://hobbygames.ru/orlean
Легендарный Манчкин;Мифы и легенды!;1290₽;_3-6;_30+;12+;https://hobbygames.ru/legendarnij-manchkin
Котики;Кис-кис, кис-кис;2990₽;_1-4;_30-45;14+;https://hobbygames.ru/kotiki
Codenames: Pictures;Игра в ассоциации в шпионском стиле;1790₽;_2-8;_до 30;10+;https://hobbygames.ru/codenames-pictures
"Таверна ""Красный Дракон"": Эльф, русалки и бутылка рома";Капитан отдал приказ – наливаем ещё раз!;1790₽;_2-4;_30-60;18+;https://hobbygames.ru/taverna-krasnij-drakon-jelf-rusalki-i-butilka-roma
Корова 006;Шпионская бурёнка;690₽;_2-10;_30-60;10+;https://hobbygames.ru/korova-006
Бэнг! Шоу Дикого Запада;Банда новых стрелков;390₽;_4-7;_20-40;12+;https://hobbygames.ru/bjeng-shou-dikogo-zapada
В поисках Эльдорадо;Отыщите путь в Золотой город!;2490₽;_2-4;_30-60;10+;https://hobbygames.ru/v-poiskah-jeldorado
"Набор игр ""Бэнг!"": ""Спагетти-вестерн №1""";I ain't happy, I'm feeling glad;2856₽;_3-8;_20-40;12+;https://hobbygames.ru/spagetti-vestern-1
Воображарий;Устрой игровую вечеринку для друзей!;1290₽;_3-9;_30+;12+;https://hobbygames.ru/voobrazharij-3-e-rus-izd
Гарри Поттер: Год в Хогвартсе;Не будите спящего дракона!;3990₽;_1-8;_20-45;7+;https://hobbygames.ru/garri-potter-god-v-hogvartse
Лаборатория;Настольная игра в жуткие зелья;3790₽;_2-4;_30-45;8+;https://hobbygames.ru/laboratoriya-2.0
Гномы;Копать, собирать, копить;1490₽;_2-4;_45+;12+;https://hobbygames.ru/gnomi
"Комикс-игра ""Легенда о рыцарях: Послание судьбы""";Choose your destiny!;990₽;_1+;_30;12+;https://hobbygames.ru/komiks-igra-legenda-o-ricarjah-poslanie-sudbi
Камни Рагнарёка;Грянет рок!;2990₽;_1-6;_30;12+;https://hobbygames.ru/kamni-ragnarjoka
Диноостров;Бежим от лавы!;1290₽;_1-5;_10;4+;https://hobbygames.ru/dinoostrov
Неустрашимые: Нормандия;Пройти через хаос войны;2790₽;_2;_40+;12+;https://hobbygames.ru/neustrashimie-normandija
Самые ужасные отмазки;Оправдания для Олега;1290₽;_3-6;_10;18+;https://hobbygames.ru/samie-uzhasnie-otmazki
Остров духов: Ветви и когти;Колонизация неминуема!;2990₽;_1-4;_90-120;13+;https://hobbygames.ru/ostrov-duhov-vetvi-i-kogti
Ужас Аркхэма. Карточная игра: Наследие Данвича. Мискатоникский музей;Новые карты игроков и новый сценарий;790₽;_1-2;_60-120;14+;https://hobbygames.ru/uzhas-arkhjema-kartochnaja-igra-nasledie-danvicha-miskatonikskij-muzej
Манчкин 7: Двуручный чит;Ультра-супер Манчкин!;990₽;_3-6;_30-60;10+;https://hobbygames.ru/manchkin-7-dvuruchnij-chit-2-e-rus-izd
"Набор игр ""Время приключений. Карточные войны"": ""Битва за Конфетное королевство""";Который час, Джейк?;3290₽;_3-5;_30;10+;https://hobbygames.ru/vremja-kartochnih-prikljuchenij
Мельница: Уютные истории;Акварельные сказки;590₽;_3-5;_20-40;8+;https://hobbygames.ru/melnica-ujutnie-istorii
Манчкин 3: Клирические ошибки;Клирики набедокурили!;990₽;_3-6;_30+;10+;https://hobbygames.ru/manchkin-3-kliricheskie-oshibki-cvetnaja-versija
Опята;А точно не поганки?;990₽;_3-7;_30+;13+;https://hobbygames.ru/opjata
Алхимики;Бросайте всё в котел!;3490₽;_2-4;_120+;14+;https://hobbygames.ru/alhimiki
Письма призрака: Почтовый ящик;Мы арестовали не того!;990₽;_2-12;_30+;6+;https://hobbygames.ru/pisma-prizraka-pochtovij-jashhik
Волшебник Изумрудного города;Мы больше не в Канзасе!;1490₽;_2-6;_25+;6+;https://hobbygames.ru/volshebnik-izumrudnogo-goroda
Вал Адриана;117 километров обороны;3790₽;_1-6;_60;12+;https://hobbygames.ru/val-adriana
Опасные гости: Кто убил мистера Уолтона?;У нас семь подозреваемых!;2990₽;_1-8;_45-75;12+;https://hobbygames.ru/opasnie-gosti-kto-ubil-mistera-uoltona
Крокодил;Гена, на!;1490₽;_4-16;_45;10+;https://hobbygames.ru/krokodil
Мафия: Вся семья в сборе. Компактная версия;"Теперь ""Мафия"" всегда под рукой!";290₽;_7-17;_20+;14+;https://hobbygames.ru/mafija-vsja-semja-v-sbore-kompaktnaja-versija
Манчкин: Тащи Сокровища;Головокружительные приключения для самых юных игроков!;1490₽;_2-6;_60+;6+;https://hobbygames.ru/manchkin-tashhi-sokrovishha
Дикинги;Вдарим Рагнарёк в этой дыре!;2490₽;_2-4;_45-90;18+;https://hobbygames.ru/dikingi
Тип Топ;Единорожья радость;1290₽;_4-9;_30-45;14+;https://hobbygames.ru/tip-top
Утиные истории: Улётное приключение;Не давайте рулить Дональду!;490₽;_3-7;_20+;8+;https://hobbygames.ru/utinie-istorii-uljotnoe-prikljuchenie
Порт-Ройал: Полное издание;Прославьтесь на весь Карибский бассейн;2490₽;_1-5;_20-50;8+;https://hobbygames.ru/port-rojal-polnoe-izdanie
Свинтус;О*ХРЮ*неть как весело!;490₽;_2-10;_10-20;5+;https://hobbygames.ru/svintus
"Набор игр ""Таверна ""Красный Дракон"": ""Угарные посиделки №2""";Хорошо сидим!;4735₽;_2-12;_30-60;18+;https://hobbygames.ru/posidelki-v-taverne-2
EXIT-Квест: Катакомбы ужаса;Успеете спасти друга?;1490₽;_1-4;_120-240;14+;https://hobbygames.ru/exit-kvest-katakombi-uzhasa
"Комикс-игра ""Оборотень""";Проклятье или сила?;990₽;_1+;_15+;18+;https://hobbygames.ru/komiks-igra-oboroten
Свинтус: Злоключения;Хрюшки выбираются в интернет;690₽;_2-10;_15+;6+;https://hobbygames.ru/svintus-zlokljuchenija
Правда или действие?! Семейка;Отвечайте или делайте;900₽;_2-12;_30+;6+;https://hobbygames.ru/pravda-ili-dejstvie-semejka
Не бомбани!;Как всё успеть?;1490₽;_3-7;_25+;12+;https://hobbygames.ru/ne-bombani
Городишко. Little Town;Время заселить эту долину!;2290₽;_2-4;_45;10+;https://hobbygames.ru/gorodishko-little-town
Властители;Интриги и страсти эпохи Возрождения;4990₽;_2-5;_60-90;14+;https://hobbygames.ru/vlastiteli
Дом Павлова;Героическая оборона;3990₽;_1-3;_60-75;14+;https://hobbygames.ru/dom-pavlova
Картографы: Герои;Оставьте свой след в истории!;990₽;_1-100;_30-45;10+;https://hobbygames.ru/kartografi-geroi
Натиск!;Вторая мировая за 20 минут;1990₽;_1-2;_15-30;12+;https://hobbygames.ru/natisk
Soviet Kitchen: Советская Кухня;Каша из топора (и не только из него);990₽;_1-6;_25;18+;https://hobbygames.ru/soviet-kitchen-sovetskaja-kuhnja
Brainy Trainy: Навыки будущего;Как воспитать гения?;1590₽;_1-15;_30+;6+;https://hobbygames.ru/brainy-trainy-naviki-budushhego
"Набор игр ""Манчкин Warhammer 40,000"": ""Астартес""";No mercy! No retreat! No remorse!;2533₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin-astartes
Эволюция: Растения;Растения будут пищей, покровителями и убежищами;990₽;_2-4;_60+;12+;https://hobbygames.ru/jevoljucija-rastenija
Время приключений. Карточные войны: Лимонохват против Гантера;Кислый характер против пингвиньего хладнокровия!;1290₽;_2;_30;10+;https://hobbygames.ru/vremja-prikljuchenij-kartochnie-vojni-limonohvat-protiv-gantera
Чемпионы Мидгарда;Время точить топоры;3750₽;_2-4;_60-90;10+;https://hobbygames.ru/chempioni-midgarda
Смертельные материалы: Амнезия;Вспомнить и выжить;490₽;_1-6;_90;18+;https://hobbygames.ru/smertelnie-materiali-amnezija
Кортекс: Битва умов;Проверьте свои чувства и навыки;1050₽;_2-6;_15+;8+;https://hobbygames.ru/korteks
Время приключений. Карточные войны: Снежный король против Марселин;Снежный король не отпускает девчонок!;1290₽;_2;_30+;10+;https://hobbygames.ru/vremja-prikljuchenij-kartochnie-vojni-snezhnij-korol-protiv-marselin
Манчкин: Вкусняшки;Карательная кулинария;1990₽;_3-6;_60+;12+;https://hobbygames.ru/manchkin-vkusnjashki
"Индустрия: промокарта ""Аллентаун""";На востоке Пенсильвании;50бон.;_2-4;_30-60;12+;https://hobbygames.ru/industrija-promokarta-allentaun
"Судный день: проект ""Чистилище""";Восстание машин не остановить;590₽;_4-16;_15-90;13+;https://hobbygames.ru/sudnij-den-proekt-chistilishhe
Воображарий: Вечеринка;А ну-ка, объясни!;1290₽;_3-9;_30+;12+;https://hobbygames.ru/voobrazharij-vecherinka-2019
Catan. Быстрая карточная игра;Ускоренная колонизация;790₽;_2-4;_30;8+;https://hobbygames.ru/catan-bistraja-kartochnaja-igra
Codenames: Duet;Прикройте друг друга!;1790₽;_2;_30+;11+;https://hobbygames.ru/kodovie-imena-dujet
Путь лепестка;Раскрутите ресторан в центре Киото;1490₽;_2;_20-30;10+;https://hobbygames.ru/put-lepestka
Unmatched: Робин Гуд vs. Бигфут;Лучник или Йети?;2490₽;_2;_15-30;9+;https://hobbygames.ru/unmatched-robin-gud-vs-bigfut
Однажды в Чикаго;Гангстеры, бутлегеры, коррупция и контрабанда;2690₽;_1-6;_75+;18+;https://hobbygames.ru/odnazhdi-v-chikago
Марко Поло 2: На службе хана;Великий шёлковый путь ждёт!;4490₽;_2-4;_60-120;12+;https://hobbygames.ru/marko-polo-2-na-sluzhbe-hana
Root: Механизмы;Пластмассовый лес победил!;1990₽;_1-4;_60-90;10+;https://hobbygames.ru/root-mehanizmi
Монополия: Большая афера;Сорви большой куш!;3490₽;_2-6;_15+;8+;https://hobbygames.ru/monopolija-bolshaja-afera
Забытые боги: Рёв Рагнарёка;И в пасти волка мир погибнет...;990₽;_2-9;_15+;16+;https://hobbygames.ru/zabitie-bogi-rjov-ragnareka
Концепт;Революция в жанре словесных настольных игр!;2490₽;_4-12;_40-60;10+;https://hobbygames.ru/koncept
Монополия СССР;Назад в детство;3990₽;_2-6;_60+;8+;https://hobbygames.ru/monopolija-sssr
Элементарно! Последний шанс;Что произошло на борту самолёта?;290₽;_1-8;_60+;8+;https://hobbygames.ru/jelementarno-poslednij-shans
Ёрш;Безумные задания для веселой компании;490₽;_4-9;_20-60;18+;https://hobbygames.ru/jorsh-kompakt
Кольт Суперэкспресс;Поезд теряет вагоны;1090₽;_3-7;_15-20;7+;https://hobbygames.ru/kolt-superjekspress
"Таверна ""Красный Дракон"": Пирушка в стиле кунг-фу";Кто больше выпил, тот и мастер;1790₽;_2-4;_30-60;18+;https://hobbygames.ru/taverna-krasnij-drakon-pirushka-v-stile-kung-fu
"Набор дополнений ""Ужас Аркхэма. Карточная игра: Нарушенный круг"": ""Тайная ложа""";Сумерки Аркхэма;5721₽;_2-6;_60+;13+;https://hobbygames.ru/tajnaja-lozha
Энергосеть. Карточная игра;Конвертируйте электричество в деньги;990₽;_2-6;_60+;13+;https://hobbygames.ru/jenergoset-kartochnaja-igra
Что? Где? Когда?;Добро пожаловать в клуб!;1990₽;_3-7;_45-60;12+;https://hobbygames.ru/chto-gde-kogda
Максимум Апокалипсис: Юрский период;Динозавры вернулись!;890₽;_1-6;_45-90;13+;https://hobbygames.ru/maksimum-apokalipsis-jurskij-period
Домик;Сделайте свой дом самым уютным!;2490₽;_2-4;_30+;7+;https://hobbygames.ru/domik
Чпок;Забудьте стыд и страх!;890₽;_2-8;_15+;18+;https://hobbygames.ru/chpok
"Погоня за ""Авророй"": Проект ""Афина""";Сразиться с искуственным интеллектом;1290₽;_2-4;_60-90;13+;https://hobbygames.ru/pogonja-za-avroroj-proekt-afina
Территория;Совершенно фееричные животные!;1950₽;_1-4;_90-120;12+;https://hobbygames.ru/territorija
Паладины западного королевства;Сила, вера и влияние;3490₽;_1-4;_90-120;12+;https://hobbygames.ru/paladini-zapadnogo-korolevstva
Манчкин Warhammer 40,000: Огнём и верой;За космическое отечество!;990₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin-warhammer-40000-ognjom-i-veroj
"Комикс-игра ""Шерлок Холмс и Ирэн Адлер""";Очаровательная дама или конкурент?;990₽;_1-2;_25-100;16+;https://hobbygames.ru/komiks-igra-sherlok-holms-i-irjen-adler
Ещё один день;Каждый день – сражение за жизнь;3490₽;_2-4;_25-100;12+;https://hobbygames.ru/eshhe-odin-den
Каркассон: Амазонка;Миплы отправляются в тропические леса Южной Америки!;1990₽;_2-5;_35+;7+;https://hobbygames.ru/karkasson-amazonka
"Набор игр ""Место преступления"": ""Полное досье""";Распутайте клубок преступлений!;5925₽;_1-4;_60-90;12+;https://hobbygames.ru/polnoe-dose
"Набор игр ""Манчкин + Манчкин: Рыцари""";Драконы, принцессы, турниры;1428₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin-manchkin-ricari
Карта сокровищ;"""Где карта, Билли? Нам нужна карта!""";590₽;_2-4;_15-20;10+;https://hobbygames.ru/karta-sokrovishh
Pixel Tactics 5;Пиксельная дуэль продолжается!;740₽;_2;_30-60;12+;https://hobbygames.ru/pixel-tactics-5
Runebound. Третья редакция. Дополнительный сценарий: В паутине;Арахниды атакуют Тамалир, паутина опутала город!;1290₽;_2-4;_120-180;14+;https://hobbygames.ru/runebound-tretja-redakcija-dopolnitelnij-scenarij-v-pautine
День сырка;Ну конечно, это сыр, а это дырочки в нём!;390₽;_2-6;_15+;4+;https://hobbygames.ru/den-sirka
Экипаж: Экспедиция к девятой планете;Требуются космонавты!;1490₽;_2-5;_20+;10+;https://hobbygames.ru/jekipazh-jekspedicija-k-devjatoj-planete
Смертельные материалы: Семь грехов;Пройти круги ада;490₽;_1-6;_90;18+;https://hobbygames.ru/smertelnie-materiali-sem-grehov
Зомбицид: Вульфсбург;Уничтожьте мерзкую нежить!;4990₽;_1-10;_60+;13+;https://hobbygames.ru/zombicid-vulfsburg
Расцвет;Возродим жизнь в долине;3490₽;_2-4;_45-60;8+;https://hobbygames.ru/rascvet
Уотергейт;Политические дрязги;2990₽;_2;_30-60;14+;https://hobbygames.ru/uotergejt
Страшные сказки: Белоснежка и Красная Шапочка;Добро попробует победить зло!;790₽;_2-4;_30+;14+;https://hobbygames.ru/strashnie-skazki-belosnezhka-i-krasnaja-shapochka
Манчкин 4: Тяга к Коняге;Настоящие скачки... с препятствиями;990₽;_3-6;_30+;10+;https://hobbygames.ru/manchkin-4-tjaga-k-konjage
Взаперти;Найти путь к свободе;3990₽;_1-5;_90+;10+;https://hobbygames.ru/vzaperti
За бортом! Три дополнения в одной коробке;Гребите с умом;490₽;_4-8;_40;18+;https://hobbygames.ru/za-bortom-dopolnenija
Заяц;Угадайте, кто не в теме?;990₽;_3-8;_15+;12+;https://hobbygames.ru/zajac
Fluxx: Ктулху;Ощути новые грани безысходности!;790₽;_2-6;_10-40;12+;https://hobbygames.ru/fluxx-ktulhu
Сырный Замок;Найди разные кусочки сыра!;2690₽;_2-4;_15-25;6+;https://hobbygames.ru/sirnij-zamok
Манчкин: Ктулху;Зло уже проснулось, а вы?;1290₽;_3-6;_30+;10+;https://hobbygames.ru/manchkin-ktulhu
Свинтус. Премиум-издание;Свинячья радость в маленькой коробке!;690₽;_2-10;_10-20;5+;https://hobbygames.ru/svintus-premium-izdanie
Паровозы и семафоры;Мы едем по дорогам Европы;2990₽;_2-4;_45;14+;https://hobbygames.ru/parovozi-i-semafori
Свинтус Делюкс;Подложи свинью товарищу!;1490₽;_2-10;_30+;5+;https://hobbygames.ru/svintus-deljuks
Fluxx: В Стране чудес;Прыгайте в кроличью нору!;790₽;_2-6;_15-30;8+;https://hobbygames.ru/fluxx-v-strane-chudes
Фанты. Игра для взрослых: Абсент;72 градуса страсти!;1190₽;_2+;_15;18+;https://hobbygames.ru/igra-dlja-vzroslih-absent
Мандалорец: Грогу и лягушачьи бега;Догонялки по кочкам;990₽;_2-4;_15;6+;https://hobbygames.ru/mandalorec-grogu-i-ljagushachi-bega
Зелёная деревня;Конкурс на лучший парк стартовал!;790₽;_1-5;_30;12+;https://hobbygames.ru/zeljonaja-derevnja
Максимум Апокалипсис: Кайдзю атакуют!;Огромные монстры и боевые роботы!;990₽;_1-6;_45-90;13+;https://hobbygames.ru/maksimum-apokalipsis-kajdzju-atakujut
Зоопарк Нью-Йорка;Розовый фламинго, пингвин и слоник;3290₽;_1-5;_30-60;10+;https://hobbygames.ru/zoopark-nju-jorka
Место преступления: Тайны Редвью;Мистика провинциальной Америки 80-х;1990₽;_1-4;_60-90;12+;https://hobbygames.ru/mesto-prestuplenija-tajni-redvju
Время приключений. Карточные войны: Принцесса Бубыльгум против Принцессы Пупырки;Кто из принцесс круче?;1290₽;_2;_30+;10+;https://hobbygames.ru/vremja-prikljuchenij-kartochnie-vojni-princessa-bubilgum-protiv-princessi-pupirki
Гравити Фолз: Битва воспоминаний;Фотоальбом Мэйбл;390₽;_2-4;_20-30;5+;https://hobbygames.ru/graviti-folz-bitva-vospominanij
Архитекторы западного королевства;Построить всё;3490₽;_1-5;_60-80;12+;https://hobbygames.ru/arhitektori-zapadnogo-korolevstva
Runebound. Третья редакция. Дополнительное приключение: Позолоченный клинок;Фэнтезийный фестиваль!;1290₽;_2-4;_120-180;14+;https://hobbygames.ru/runebound-tretja-redakcija-dopolnitelnoe-prikljuchenie-pozolochennij-klinok
Дорога приключений: Архив Буресвета;Вступите в орден Сияющих;3790₽;_1-4;_30-60;12+;https://hobbygames.ru/doroga-prikljuchenij-arhiv-buresveta
Чёрный ангел;Искусственный интеллект спасает человечество;5490₽;_1-4;_60-120;14+;https://hobbygames.ru/chernij-angel
Манчкин Warhammer: Age of Sigmar;Пафосно превозмогайте и хапайте!;1990₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin-warhammer-age-of-sigmar
Вулкан;Направьте лаву в деревню соседа;1790₽;_2-6;_30-60;10+;https://hobbygames.ru/vulkan
Крепость Маджонг;Легендарная игра в новом формате!;3790₽;_1-4;_45+;8+;https://hobbygames.ru/krepost-madzhong
Всадники Скифии;Иго из-за чёрного моря;3650₽;_1-4;_60;12+;https://hobbygames.ru/vsadniki-skifii
Вороны Одина;Облететь весь мир;1190₽;_2;_30+;8+;https://hobbygames.ru/voroni-odina
Свинтус (2010);Свинячья радость в маленькой коробке!;490₽;_2-10;_15-20;5+;https://hobbygames.ru/igra-svintus-2010
Ticket to Ride: Америка 1910;Мегаполисы и поезда-призраки;1490₽;_2-5;_30-60;8+;https://hobbygames.ru/ticket-to-ride-amerika-1910
Тортуга 2199;Космос кишит пиратами!;3290₽;_2-4;_60-90;14+;https://hobbygames.ru/tortuga-2199
Замес: Неизбежный выпуск про Ктулху;Культисты, Древние и вот это всё!;990₽;_2;_30-45;12+;https://hobbygames.ru/zames-neizbezhnij-vipusk-pro-ktulhu
Страшные сказки: Русалочка и Золушка;Новые героини для ваших сказок;790₽;_2-4;_30+;14+;https://hobbygames.ru/strashnie-skazki-rusalochka-i-zolushka
Предназначение: Море песка;Пустыни, ифриты, пираты...;2990₽;_1-3;_120-150;13+;https://hobbygames.ru/prednaznachenie-more-peska
Чужая Планета: Убежище;Летающая цитадель дарит шанс выжить;1690₽;_2-7;_30-60;10+;https://hobbygames.ru/chuzhaja-planeta-ubezhishhe
Экипаж: Погружение в бездну;Кто проживает на дне океана?;1490₽;_2-5;_20+;10+;https://hobbygames.ru/jekipazh-pogruzhenie-v-bezdnu
Скала ведьм;Тайный ритуал;3990₽;_2-4;_60+;14+;https://hobbygames.ru/skala-vedm
Штука: Другие миры;Ужинаем в Поднебесной!;1990₽;_3-7;_40-60;12+;https://hobbygames.ru/shtuka-drugie-miri
Иниш: Сезоны;Требуем короля!;3490₽;_2-5;_90+;12+;https://hobbygames.ru/inish-sezoni
Грандиозное представление;Станьте владельцем бродячего цирка!;2990₽;_1-4;_60-90;14+;https://hobbygames.ru/grandioznoe-predstavlenie
Красный собор;Заслужите благосклонность государя;2390₽;_2-4;_20;8+;https://hobbygames.ru/krasnij-sobor
Дюжина короля;Захватите двенадцать стран!;1190₽;_2-4;_20;8+;https://hobbygames.ru/djuzhina-korolja
Замес: Культурный шок;Фольклорная вечеринка;990₽;_2;_30-45;12+;https://hobbygames.ru/zames-kulturnij-shok
Викинги;Как впечатлить Конунга и попасть в Вальхаллу?;3990₽;_2-4;_60+;12+;https://hobbygames.ru/vikingi
Траян;Расцвет Римской империи;4190₽;_2-4;_60+;14+;https://hobbygames.ru/trajan
"Набор игр ""Картографы"": ""Уроки картографии""";Всё королевство как на ладони!;1683₽;_1-100;_30-45;10+;https://hobbygames.ru/uroki-kartografii
Я не робот;Сможете написать симфонию?;1490₽;_3-8;_30;12+;https://hobbygames.ru/ja-ne-robot
Этот безумный мир;Возглавьте свою империю будущего!;3490₽;_1-5;_45+;12+;https://hobbygames.ru/jetot-bezumnij-mir
Доббль: Новая редакция;Ищите повторения!;990₽;_2-8;_15+;6+;https://hobbygames.ru/dobbl-novaja-redakcija
Зомби в школе;Игра, которая меняется!;1590₽;_2-4;_15-20;7+;https://hobbygames.ru/zombi-v-shkole
Азул: Летний дворец;В Португалии всегда солнечно;3990₽;_2-4;_30-45;8+;https://hobbygames.ru/azul-letnij-dvorec
Успешный кейс;Что в заветном чемодане?;290₽;_2-11;_5-10;12+;https://hobbygames.ru/uspeshnij-kejs
Взлет разрешен!;Пристегните ремни!;2990₽;_2-6;_30-60;9+;https://hobbygames.ru/vzlet-razreshen
Орифламма: Альянс;Во дворце заговор;1190₽;_3-5;_25+;10+;https://hobbygames.ru/oriflamma-aljans
Четыре хвоста;Длинный питон;1890₽;_2-4;_30-45;5+;https://hobbygames.ru/chetire-hvosta
"Комикс-игра ""Зомби""";Вас зовут на ужин – в качестве ужина!;990₽;_1+;_30+;18+;https://hobbygames.ru/komiks-igra-zombi
Экивоки: Пижамная вечеринка;С лучшими друзьями;1390₽;_2-16;_30+;14+;https://hobbygames.ru/jekivoki-pizhamnaja-vecherinka
Кольт Экспресс: Шериф и заключённые;Блюститель закона настроен серьёзно!;1490₽;_3-8;_40;10+;https://hobbygames.ru/kolt-jekspress-sherif-i-zakljuchjonnie
Чужая планета. Новые горизонты;Откройте обратную сторону Артемии;1090₽;_2-7;_30+;13+;https://hobbygames.ru/chuzhaja-planeta-novie-gorizonti
Gloomhaven. Мрачная гавань: Забытые круги;Воспоминания о прошлом – ключ к будущему;3290₽;_1-4;_30-120;13+;https://hobbygames.ru/gloomhaven-mrachnaja-gavan-zabitie-krugi
Манчкин: Стимпанк;Новый уникальный арт!;1290₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin-stimpank
Подозрительно;Покушение на драгоценные камни;1990₽;_2-6;_30+;10+;https://hobbygames.ru/podozritelno
Эволюция: Новый мир. Эффект бабочки;Больше непредсказуемости!;1690₽;_2-6;_30-60;11+;https://hobbygames.ru/jevoljucija-novij-mir-jeffekt-babochki
Фабрика Покера: Набор из 200 фишек с номиналом для покера с картами и сукном в жестяной коробке;Терн и ривер даст каре;1490₽;_2-4;_30-60;18+;https://hobbygames.ru/fabrika-pokera-nabor-iz-200-fishek-s-nominalom-dlja-pokera-s-kartami-i-suknom-v-zhestjanoj-korobke
Эволюция: Трава и грибы;Растения смогут постоять за себя!;990₽;_2-4;_30-60;18+;https://hobbygames.ru/jevoljucija-trava-i-gribi
Звёздное слияние;Торгуйте, развивайтесь, решите судьбу галактики!;5990₽;_4-9;_120;13+;https://hobbygames.ru/zvjozdnoe-slijanie
Холодное сердце 2: Зачарованный лес;Помогите друзьям найти дорогу!;490₽;_2-6;_20-30;5+;https://hobbygames.ru/holodnoe-serdce-2-zacharovannij-les
Каркуша: Маленький сад;Весёлая игра для самых маленьких;590₽;_1-4;_10+;3+;https://hobbygames.ru/karkusha-malenkij-sad
Голем;Оно живое!;4990₽;_1-4;_90-120;14+;https://hobbygames.ru/golem
Находка для шпиона 2 / Spyfall 2;Шпион всегда пригодится!;1290₽;_3-12;_15+;13+;https://hobbygames.ru/nahodka-dlja-shpiona-2-spyfall-2
Ночь Ниндзя;"""Под покровом темноты


	Первой жертвой будешь ты!""";1890₽;_4-11;_15-30;12+;https://hobbygames.ru/noch-nindzja
Spycon;Детективная командная игра для вечеринок;990₽;_4-10;_30+;12+;https://hobbygames.ru/spycon
Манчкин 8: В хвост и в гриву;Кентавры и ящерки!;990₽;_3-6;_30+;12+;https://hobbygames.ru/manchkin-8-v-hvost-i-v-grivu
Доббль: Гарри Поттер;Перемещаемся в Хогвартс;1390₽;_2-8;_15-20;6+;https://hobbygames.ru/dobbl-garri-potter
Детектив: Первый Сезон;Расследуйте три уникальных дела!;2490₽;_1-5;_90-120;16+;https://hobbygames.ru/detektiv-pervij-sezon
Азул: Сад королевы;Станьте лучшим королевским садовником!;4490₽;_2-4;_45-60;8+;https://hobbygames.ru/azul-sad-korolevi
Свинтус: Зомби;Восстание свиномертвецов!;490₽;_2-10;_15-20;8+;https://hobbygames.ru/svintus-zombi-2-e-rus-izd
Совпадение;Жаворонки или Совы?;790₽;_3-8;_15+;10+;https://hobbygames.ru/sovpadenie
